time,_dt,strain_zx_interface,stres_xx_interface,stres_xy_interface,stres_yy_interface,stres_yz_interface,stres_zz_interface,stress_zx_interface
0.97,0,0,0,0,0,0,0,0
0.975,0.005,-8.1185718251649e-08,-5.0022929179341,-3.2166252204278e-05,-5.0000034148411,-0.00074418184088726,-4.9992985809998,-0.00027863546189365
0.98,0.005,-8.1883315649265e-08,-5.4563270872024,-2.9794043051696e-06,-5.4117696323384,-2.1933503826176e-05,-4.9999565662725,-0.00024538267423799
0.985,0.005,-8.1292205639162e-08,-5.6498043259877,8.5992614250018e-06,-5.5891913295807,-1.1431293628867e-05,-4.9999907338789,-0.00025137370421781
0.99,0.005,-8.2776813686712e-08,-5.7316919836314,4.3641460249463e-05,-5.6631620498682,-8.1659852187118e-06,-4.9999951611586,-0.00024288575183919
0.995,0.005,-8.6302446440077e-08,-5.7247879131051,-1.0041181266016e-05,-5.6589820337134,-3.0624788501772e-05,-5.0000229949588,-0.00020940442811158
1,0.005,-8.5295312968082e-08,-5.7006372111684,-1.9383630639591e-05,-5.6399631011289,-7.2257914699982e-05,-5.0000670932488,0.0086527409804326
1.005,0.005,-4.2676406669293e-08,-5.6835007448642,-8.7455702431366e-05,-5.6298100338272,0.00012557791223181,-4.9999507629918,0.13227120733234
1.01,0.005,9.9960156898646e-08,-5.6701492090872,-0.0011014318572262,-5.6252578589547,5.9083354900174e-05,-5.0000558184304,0.52510461290626
1.015,0.005,4.0047580839903e-07,-5.6755576032313,-0.00085485001250377,-5.6294134466682,3.057115206278e-05,-5.0000253094754,1.2332365229364
1.02,0.005,9.9007225769996e-07,-5.73481098416,-0.0032851351200534,-5.648132943286,8.3348213475139e-05,-5.0000684376925,2.2518658029418
1.025,0.005,3.3994677661304e-06,-5.7652094084446,-0.039289113869045,-5.651055870255,-1.3804675935677e-05,-5.0000043211807,3.4943946854124
1.03,0.005,3.5687430639533e-05,-5.114005521196,-0.01022805739696,-5.0723069587844,1.5207265964654e-05,-5.0000420842631,4.3361856972913
1.035,0.005,8.7715404034685e-05,-5.0810930323955,-0.0025120193729053,-5.0308994643405,-3.1129019691402e-05,-4.9999639171179,5.1232508651999
1.04,0.005,0.00018505438948295,-5.0537129692364,-0.0015132786698007,-5.0177113329165,8.8223803657065e-06,-4.9999461742176,5.4085212694604
1.045,0.005,0.00030706013162714,-5.0341528038875,7.9159568119297e-06,-5.0155222107541,-4.8679878589577e-05,-5.0000566964366,5.5198070544708
1.05,0.005,0.00043326705032808,-5.0327292079254,-0.00024826840009159,-5.0134277528255,2.8743500561215e-05,-4.9998105896928,5.6426732619479
1.055,0.005,0.00056259868526652,-5.0382510454524,0.00019594749103424,-5.0141829957758,-2.5134455704852e-05,-5.0001314207199,5.8590379965091
1.06,0.005,0.00068794669640184,-5.0396858294063,-0.00083918152224705,-5.0141533570054,4.3890336786112e-05,-4.9999010294998,6.1272320763777
1.065,0.005,0.00082710233821303,-5.0319360719877,-0.00065889140573808,-5.0129046543658,-4.9503826907567e-05,-5.0001102890606,6.2535788901416
1.07,0.005,0.0009635558729164,-5.0374904996475,-0.00077845259563422,-5.0142711850748,5.177438022254e-05,-4.9998175930722,6.3201563416284
1.075,0.005,0.0011032367634327,-5.0258381032709,-0.0024035881707521,-5.0127952526855,-7.7991043110754e-05,-5.0001999981526,6.3196724845404
1.08,0.005,0.0012399659622398,-5.0261549336206,-0.0019296806590628,-5.0120647361181,6.9219659588504e-05,-4.9998327609917,6.1827530202039
1.085,0.005,0.0013590098420414,-5.0316405222726,-0.00082441912309805,-5.0111880267436,-0.00012182102190139,-5.0002872083338,6.1689661581459
1.09,0.005,0.001449258791143,-5.0234093502939,-0.0010161844551595,-5.0108728472055,9.9569976838857e-05,-4.9997977726229,6.331647446659
1.095,0.005,0.0015344539253937,-5.0227968337856,-0.00034996081420639,-5.0128786239418,-0.00014499038938042,-5.0001910841089,6.3428188230421
1.1,0.005,0.0016177577658018,-5.030942767728,0.00038367345398019,-5.0153018783781,0.00011966614019709,-4.9999023972878,6.0792864291889
1.105,0.005,0.0016565488194848,-5.0527772492272,-0.00014770449680129,-5.015664296507,-0.00012826872876526,-5.0000435124587,6.1432874874157
1.11,0.005,0.0016635486371619,-5.0276031886216,-0.0033281487136777,-5.0323127434775,0.00010947133162389,-5.0000413135131,6.2979126282768
1.115,0.005,0.0016760865017322,-4.9081907178075,0.005953286651996,-5.0073473311726,-0.000113888657516,-4.9999151071941,5.9950617386125
1.12,0.005,0.0016813348429071,-5.317019018575,0.046011543764031,-5.0939029372128,7.3747306943143e-05,-5.0000757273647,5.295139104241
1.125,0.005,0.0016811180383017,-5.5304174544783,0.058578393127531,-5.2066959401752,-0.00017554573137681,-4.9999472376467,4.1269104360234
1.13,0.005,0.0016804171319103,-5.6342589366571,0.060871940561661,-5.1929184699987,7.2053938973897e-05,-4.9999003329121,2.4232516910139
1.135,0.005,0.0016788148998819,-5.8819176707925,0.02616949474001,-5.2066528265268,-7.4358525682056e-05,-5.0000776304143,0.23125342494006
1.14,0.005,0.0016677032768428,-5.6049742452124,-0.0011235105123715,-5.1683374255528,0.00011558016190516,-4.9999319008056,-2.0983078323641
1.145,0.005,0.0016121649150035,-5.2322654308907,0.0084675270247305,-5.0141743860269,-0.00021632180834581,-4.9998783501893,-3.9936815520777
1.15,0.005,0.0015548849499027,-5.3074860525261,0.002885869286611,-5.0490983334895,0.00013398040411512,-5.0005669170767,-6.3260768368381
1.155,0.005,0.0014301092519306,-5.2818333795496,-0.0014512836055273,-5.0586622433814,5.0251155631051e-05,-4.9989123763635,-7.9787650067713
1.16,0.005,0.0012027443271583,-5.0874042567282,0.0022368733118744,-5.0332702028103,-0.00017338825774301,-5.0018381999582,-8.6326050813063
1.165,0.005,0.00095363917844014,-5.1284146886369,0.0012829320255833,-5.0341234491625,0.00034103844266545,-4.9975683823709,-9.1757552718843
1.17,0.005,0.00070948651141132,-5.1405833721117,-0.00059902974845396,-5.0465493792689,-0.00041217599834531,-5.0030009144424,-10.247785921767
1.175,0.005,0.0004379917266963,-5.1520239326099,-0.0001931843829817,-5.0484872618819,0.00054675316743394,-4.9965759862234,-11.096810533786
1.18,0.005,8.085452782904e-05,-5.0792444987937,0.0014760125546045,-5.0452626945565,-0.00063974296088718,-5.0036892045383,-11.099331758971
1.185,0.005,-0.00036644653911789,-5.02784932295,0.00022637985323311,-5.0242804724969,0.00064345537222187,-4.9963128607942,-9.8364393837913
1.19,0.005,-0.00077759941737998,-5.0481885480795,-0.00030000015144417,-5.0227168347397,-0.00064680865855632,-5.0034089224729,-9.2753350336059
1.195,0.005,-0.0011437092968287,-5.0311707121836,0.00047773718459451,-5.0162340212438,0.00064525454391396,-4.9972482842578,-9.4177275599384
1.2,0.005,-0.001536195912438,-5.037412812826,0.00024116824953704,-5.017154373665,-0.00056683081521446,-5.0020509264595,-9.3276253620296
